x_key,y_key,radiation,weight,step,id
-5,-5,0.080285,1,0,9
-5,-5,0.080322,1,1,9
-4,-4,0.081752,1,2,9
-5,-4,0.08148,1,3,9
-5,-4,0.079884,1,4,9
-5,-3,0.077999,1,5,9
-5,-3,0.076536,1,6,9
-5,-2,0.075547,1,7,9
-5,-2,0.074056,1,8,9
-5,-2,0.071776,1,9,9
-5,-1,0.06899,1,10,9
-5,-1,0.066065,1,11,9
-5,0,0.063562,1,12,9
-5,0,0.06077,1,13,9
-5,1,0.057815,1,14,9
-5,1,0.054905,1,15,9
-5,1,0.052183,1,16,9
-5,2,0.049772,1,17,9
-5,2,0.047394,1,18,9
-5,2,0.047166,1,19,9
-5,2,0.048564,1,20,9
-4,2,0.051298,1,21,9
-4,2,0.055355,1,22,9
-4,2,0.059547,1,23,9
-3,2,0.064714,1,24,9
-3,1,0.07133,1,25,9
-3,1,0.078453,1,26,9
-2,1,0.08728,1,27,9
-2,0,0.097391,1,28,9
-2,0,0.11146,1,29,9
-1,0,0.127475,1,30,9
-1,-1,0.146607,1,31,9
-1,-1,0.170186,1,32,9
0,-1,0.196998,1,33,9
0,-1,0.235672,1,34,9
0,-2,0.281669,1,35,9
1,-2,0.347581,1,36,9
1,-2,0.4263,1,37,9
1,-3,0.531515,1,38,9
2,-3,0.656207,1,39,9
2,-3,0.786074,1,40,9
2,-3,0.797225,1,41,9
