x_key,y_key,radiation,weight,step,id
3,4,0.078832,1,0,9
3,4,0.078933,1,1,9
3,3,0.084561,1,2,9
3,3,0.092701,1,3,9
3,3,0.102101,1,4,9
3,2,0.113564,1,5,9
3,2,0.122133,1,6,9
3,2,0.138567,1,7,9
3,1,0.153567,1,8,9
3,1,0.170392,1,9,9
3,1,0.192274,1,10,9
3,0,0.221194,1,11,9
3,0,0.254023,1,12,9
4,-1,0.296164,1,13,9
4,-1,0.349561,1,14,9
4,-1,0.418094,1,15,9
4,-2,0.495416,1,16,9
4,-2,0.587572,1,17,9
4,-3,0.686834,1,18,9
4,-3,0.792336,1,19,9
4,-3,0.874845,1,20,9
4,-4,0.912768,1,21,9
4,-4,0.898862,1,22,9
4,-4,0.892952,1,23,9
