x_key,y_key,radiation,weight,step,id
3,3,0.083024,1,0,7
3,3,0.083855,1,1,7
3,3,0.092347,1,2,7
2,3,0.103265,1,3,7
2,2,0.114367,1,4,7
2,2,0.117206,1,5,7
2,2,0.123519,1,6,7
2,1,0.135770,1,7,7
2,1,0.153363,1,8,7
2,1,0.175852,1,9,7
2,0,0.201222,1,10,7
2,0,0.220443,1,11,7
2,0,0.224544,1,12,7
2,0,0.222108,1,13,7
2,0,0.224628,1,14,7
2,0,0.222507,1,15,7
2,0,0.224577,1,16,7
2,0,0.222743,1,17,7
2,0,0.224531,1,18,7
2,0,0.222524,1,19,7
2,0,0.224641,1,20,7
2,0,0.222348,1,21,7
2,0,0.224655,1,22,7
2,0,0.222409,1,23,7
2,0,0.224664,1,24,7
2,0,0.222316,1,25,7
2,0,0.224623,1,26,7
2,0,0.223118,1,27,7
2,0,0.224631,1,28,7
2,0,0.222799,1,29,7
2,0,0.224632,1,30,7
2,0,0.222853,1,31,7
2,0,0.224734,1,32,7
2,0,0.223063,1,33,7
2,0,0.225072,1,34,7
2,0,0.223076,1,35,7
2,0,0.225052,1,36,7
2,0,0.223072,1,37,7
2,0,0.224957,1,38,7
2,0,0.223167,1,39,7
2,0,0.225141,1,40,7
2,0,0.223309,1,41,7
2,0,0.221226,1,42,7
2,0,0.216606,1,43,7
2,0,0.210238,1,44,7
2,0,0.193077,1,45,7
2,1,0.172732,1,46,7
2,1,0.172681,1,47,7
1,1,0.158070,1,48,7
1,1,0.144095,1,49,7
1,2,0.128162,1,50,7
1,2,0.121144,1,51,7
0,2,0.111130,1,52,7
0,2,0.102569,1,53,7
0,2,0.096140,1,54,7
0,2,0.093012,1,55,7
-1,2,0.094056,1,56,7
-1,2,0.093247,1,57,7
-2,1,0.090060,1,58,7
-2,1,0.087304,1,59,7
-2,1,0.087902,1,60,7
-3,0,0.090767,1,61,7
-3,0,0.092131,1,62,7
-3,-1,0.095723,1,63,7
-3,-1,0.103233,1,64,7
-3,-2,0.117077,1,65,7
-2,-2,0.136083,1,66,7
-2,-2,0.153977,1,67,7
-2,-2,0.171457,1,68,7
-1,-3,0.211060,1,69,7
-1,-2,0.229634,1,70,7
-1,-2,0.224809,1,71,7
-1,-2,0.218426,1,72,7
-1,-2,0.210023,1,73,7
-1,-2,0.193555,1,74,7
-2,-3,0.176731,1,75,7
-2,-2,0.171962,1,76,7
-2,-2,0.151007,1,77,7
-2,-2,0.138085,1,78,7
-2,-2,0.135296,1,79,7
-2,-1,0.136322,1,80,7
-2,-1,0.128474,1,81,7
-2,0,0.121951,1,82,7
-1,0,0.124570,1,83,7
-1,0,0.135257,1,84,7
-1,0,0.153657,1,85,7
0,0,0.174540,1,86,7
0,0,0.188462,1,87,7
1,0,0.210154,1,88,7
1,0,0.221301,1,89,7
1,0,0.228578,1,90,7
1,0,0.225398,1,91,7
