x_key,y_key,radiation,weight,step,id
-4,-5,0.086295,1,0,7
-4,-5,0.087979,1,1,7
-4,-5,0.097815,1,2,7
-4,-5,0.099032,1,3,7
-4,-4,0.098833,1,4,7
-4,-4,0.093234,1,5,7
-4,-4,0.088507,1,6,7
-4,-3,0.087267,1,7,7
-4,-3,0.089821,1,8,7
-4,-3,0.092156,1,9,7
-4,-2,0.088866,1,10,7
-4,-2,0.082343,1,11,7
-4,-1,0.076825,1,12,7
-4,-1,0.074361,1,13,7
-4,0,0.072248,1,14,7
-4,0,0.068861,1,15,7
-4,1,0.064382,1,16,7
-4,1,0.059917,1,17,7
-4,2,0.056315,1,18,7
-4,2,0.053331,1,19,7
-4,2,0.049797,1,20,7
-5,2,0.047119,1,21,7
-5,2,0.044288,1,22,7
-5,2,0.044301,1,23,7
-5,2,0.045110,1,24,7
-5,2,0.045910,1,25,7
-5,2,0.047918,1,26,7
-4,2,0.053003,1,27,7
-4,2,0.055868,1,28,7
-4,2,0.057247,1,29,7
-3,3,0.058434,1,30,7
-3,3,0.060385,1,31,7
-2,3,0.060103,1,32,7
-2,3,0.057858,1,33,7
-2,3,0.057449,1,34,7
-2,3,0.058836,1,35,7
-2,3,0.061003,1,36,7
-1,3,0.070014,1,37,7
-1,3,0.074951,1,38,7
0,3,0.080572,1,39,7
0,3,0.086191,1,40,7
0,2,0.091626,1,41,7
0,2,0.101457,1,42,7
0,2,0.113608,1,43,7
0,1,0.127486,1,44,7
0,1,0.142031,1,45,7
1,1,0.154596,1,46,7
1,1,0.163682,1,47,7
1,0,0.178550,1,48,7
1,0,0.193236,1,49,7
2,0,0.218937,1,50,7
2,0,0.243043,1,51,7
2,0,0.242715,1,52,7
2,0,0.236736,1,53,7
2,0,0.232453,1,54,7
2,0,0.227325,1,55,7
2,0,0.217305,1,56,7
1,0,0.203842,1,57,7
1,0,0.191559,1,58,7
1,0,0.173075,1,59,7
1,0,0.172082,1,60,7
1,0,0.173717,1,61,7
1,0,0.184631,1,62,7
1,0,0.198376,1,63,7
1,-1,0.236730,1,64,7
1,-1,0.247089,1,65,7
