2,1,12
2,1,13
2,1,4
2,1,11
2,1,0
2,1,8
2,1,6
2,1,14
2,1,2
2,1,10
2,1,7
2,1,5
2,1,1
2,1,9
2,1,3
184,2,6
181,2,0
194,2,2
181,2,13
187,2,8
174,2,12
184,2,4
197,2,10
184,2,11
184,2,14
187,2,7
184,2,1
184,2,5
194,2,3
174,2,9
2160,3,0
2223,3,10
1547,3,2
1988,3,13
2212,3,4
2221,3,11
2170,3,14
2352,3,8
1920,3,6
2160,3,12
2204,3,1
1551,3,3
2170,3,5
2056,3,9
2164,3,7
2455,4,12
2455,4,11
2476,4,13
2421,4,2
2421,4,10
2493,4,8
2455,4,0
2421,4,14
2476,4,6
2455,4,4
2423,4,3
2501,4,9
2455,4,1
2476,4,7
2421,4,5
2409,5,12
2447,5,11
2505,5,13
2530,5,10
2449,5,8
2472,5,14
2472,5,4
2493,5,6
2455,5,2
2472,5,0
2492,5,9
2472,5,5
2493,5,7
2518,5,3
2472,5,1
2462,6,4
2520,6,6
2566,6,8
2591,6,0
2459,6,13
2591,6,2
2461,6,14
2545,6,12
2462,6,11
2484,6,10
2566,6,7
2500,6,5
2565,6,9
2545,6,1
2508,6,3
2505,7,12
2545,7,11
2646,7,2
2570,7,13
2522,7,8
2575,7,0
2521,7,10
2566,7,6
2545,7,4
2600,7,14
2516,7,3
2565,7,9
2496,7,7
2566,7,1
2537,7,5
2617,8,2
2746,8,11
2768,8,10
2682,8,12
2750,8,4
2704,8,0
2735,8,8
2767,8,6
2663,8,3
2788,8,13
2767,8,14
2702,8,9
2683,8,1
2716,8,5
2811,8,7
2633,9,10
2681,9,4
2723,9,0
2708,9,2
2780,9,12
2729,9,8
2746,9,11
2750,9,13
2729,9,5
2729,9,14
2729,9,6
2717,9,9
2682,9,3
2729,9,1
2729,9,7
2681,10,8
2699,10,2
2682,10,14
2685,10,10
2750,10,6
2797,10,12
2730,10,11
2730,10,4
2751,10,13
2820,10,0
2797,10,9
2653,10,3
2730,10,7
2730,10,5
2713,10,1
2683,11,13
2683,11,14
2608,11,2
2702,11,12
2681,11,10
2604,11,6
2704,11,8
2685,11,0
2667,11,11
2683,11,4
2683,11,3
2683,11,1
2685,11,9
2683,11,7
2600,11,5
2315,12,6
2269,12,11
2494,12,2
2419,12,10
2378,12,0
2317,12,7
2343,12,8
2292,12,14
2286,12,12
2342,12,13
2288,12,4
2423,12,3
2378,12,5
2307,12,9
2286,12,1
2684,13,6
2872,13,4
2777,13,10
2781,13,2
2799,13,14
2914,13,12
2788,13,0
2849,13,11
2916,13,8
2805,13,13
2740,13,7
2703,13,5
2638,13,3
2937,13,1
2749,13,9
3041,14,6
3096,14,4
2937,14,10
3054,14,2
3075,14,14
3007,14,12
3050,14,7
3049,14,11
3096,14,0
3046,14,8
3075,14,13
3016,14,5
3076,14,3
2961,14,9
3030,14,1
3054,15,6
3054,15,14
3055,15,10
3027,15,12
3075,15,8
3033,15,2
3075,15,13
3095,15,0
3071,15,11
3054,15,7
3075,15,4
3073,15,9
3055,15,3
3010,15,5
3096,15,1
3092,16,4
3122,16,0
3055,16,10
3046,16,6
3071,16,14
3122,16,12
3019,16,8
3071,16,11
3050,16,2
3048,16,13
3071,16,5
3109,16,1
3025,16,7
3042,16,9
3072,16,3
3209,17,0
3277,17,4
3172,17,14
3229,17,12
3164,17,6
3096,17,2
3231,17,1
3298,17,8
3195,17,10
3172,17,11
3167,17,13
3178,17,5
3097,17,9
3062,17,3
3192,17,7
3161,18,6
3164,18,13
3135,18,10
3241,18,4
