x_key,y_key,radiation,weight,step,id
-4,2,0.049787,1,0,1
-4,2,0.049788,1,1,1
-4,2,0.049796,1,2,1
-4,2,0.049897,1,3,1
-4,2,0.050386,1,4,1
-4,2,0.050716,1,5,1
-4,2,0.050727,1,6,1
-4,2,0.050727,1,7,1
-4,2,0.050956,1,8,1
-4,2,0.051329,1,9,1
-4,2,0.051837,1,10,1
-4,2,0.052250,1,11,1
-4,2,0.052560,1,12,1
-4,2,0.052666,1,13,1
-4,2,0.053258,1,14,1
-4,2,0.053757,1,15,1
-4,2,0.054761,1,16,1
-4,2,0.055663,1,17,1
-4,2,0.056293,1,18,1
-4,2,0.056705,1,19,1
-4,2,0.056957,1,20,1
-3,2,0.057221,1,21,1
-3,2,0.057840,1,22,1
-3,2,0.058398,1,23,1
-3,2,0.059418,1,24,1
-3,2,0.061758,1,25,1
-3,2,0.062989,1,26,1
-3,2,0.064465,1,27,1
-3,2,0.066178,1,28,1
-3,2,0.067887,1,29,1
-3,2,0.068460,1,30,1
-3,2,0.068718,1,31,1
-3,2,0.068718,1,32,1
-3,2,0.068718,1,33,1
-3,2,0.070654,1,34,1
-2,2,0.074830,1,35,1
-2,2,0.078107,1,36,1
-2,2,0.080820,1,37,1
-2,2,0.083031,1,38,1
-2,1,0.085656,1,39,1
-2,1,0.086352,1,40,1
-2,1,0.086352,1,41,1
-2,1,0.086352,1,42,1
-2,1,0.086352,1,43,1
-2,1,0.086352,1,44,1
-2,1,0.088756,1,45,1
-2,1,0.090104,1,46,1
-1,1,0.094205,1,47,1
-1,1,0.094474,1,48,1
-1,1,0.098581,1,49,1
-1,1,0.099045,1,50,1
-1,1,0.102123,1,51,1
-1,1,0.109291,1,52,1
-1,1,0.111943,1,53,1
-1,1,0.113563,1,54,1
-1,1,0.116048,1,55,1
-1,1,0.119637,1,56,1
-1,1,0.129338,1,57,1
0,1,0.133928,1,58,1
0,1,0.133928,1,59,1
0,1,0.135944,1,60,1
0,0,0.136918,1,61,1
0,0,0.139168,1,62,1
0,0,0.140315,1,63,1
0,0,0.143847,1,64,1
0,0,0.144942,1,65,1
0,0,0.144942,1,66,1
0,0,0.144942,1,67,1
0,0,0.146979,1,68,1
0,0,0.149722,1,69,1
0,0,0.150479,1,70,1
0,0,0.152847,1,71,1
0,0,0.155098,1,72,1
0,0,0.158429,1,73,1
0,0,0.160112,1,74,1
0,0,0.163989,1,75,1
0,0,0.175722,1,76,1
0,0,0.175722,1,77,1
0,0,0.175722,1,78,1
1,0,0.188737,1,79,1
1,0,0.199342,1,80,1
1,0,0.199342,1,81,1
1,0,0.201486,1,82,1
1,-1,0.224733,1,83,1
1,-1,0.224733,1,84,1
1,-1,0.224733,1,85,1
1,-1,0.224733,1,86,1
1,-1,0.225961,1,87,1
1,-1,0.227760,1,88,1
1,-1,0.228569,1,89,1
1,-1,0.235517,1,90,1
1,-1,0.238298,1,91,1
1,-1,0.241178,1,92,1
1,-1,0.249180,1,93,1
1,-1,0.253289,1,94,1
1,-1,0.262930,1,95,1
1,-1,0.264730,1,96,1
