x_key,y_key,radiation,weight,step,id
3,3,0.082612,1,0,1
3,3,0.082613,1,1,1
3,3,0.082613,1,2,1
3,3,0.082613,1,3,1
3,3,0.085249,1,4,1
3,3,0.086288,1,5,1
3,3,0.087521,1,6,1
3,3,0.088430,1,7,1
2,3,0.089346,1,8,1
2,3,0.090531,1,9,1
2,3,0.091671,1,10,1
2,3,0.092725,1,11,1
2,3,0.093988,1,12,1
2,3,0.094842,1,13,1
2,3,0.095372,1,14,1
1,3,0.096076,1,15,1
1,3,0.096537,1,16,1
1,3,0.097027,1,17,1
1,3,0.097632,1,18,1
1,2,0.098470,1,19,1
1,2,0.099631,1,20,1
1,2,0.101240,1,21,1
1,2,0.103170,1,22,1
1,2,0.105463,1,23,1
1,2,0.106731,1,24,1
0,2,0.108865,1,25,1
0,2,0.110351,1,26,1
0,2,0.113152,1,27,1
0,2,0.116284,1,28,1
0,1,0.119111,1,29,1
0,1,0.123166,1,30,1
0,1,0.127166,1,31,1
0,1,0.130210,1,32,1
0,1,0.135499,1,33,1
0,1,0.137097,1,34,1
0,1,0.144322,1,35,1
1,1,0.147945,1,36,1
1,1,0.152459,1,37,1
1,1,0.156256,1,38,1
1,1,0.161075,1,39,1
1,1,0.164992,1,40,1
1,1,0.171375,1,41,1
1,0,0.179092,1,42,1
1,0,0.186563,1,43,1
1,0,0.195287,1,44,1
1,0,0.202010,1,45,1
1,0,0.212233,1,46,1
1,0,0.222466,1,47,1
1,0,0.232734,1,48,1
1,0,0.244637,1,49,1
1,0,0.245158,1,50,1
1,-1,0.265353,1,51,1
1,-1,0.275719,1,52,1
2,-1,0.288006,1,53,1
2,-1,0.300259,1,54,1
2,-1,0.300259,1,55,1
2,-1,0.307489,1,56,1
2,-1,0.322123,1,57,1
2,-1,0.324686,1,58,1
2,-1,0.326172,1,59,1
2,-1,0.337213,1,60,1
