2,1,8
2,1,0
2,1,7
2,1,4
2,1,1
2,1,6
2,1,2
2,1,9
2,1,3
2,1,5
187,2,2
181,2,9
187,2,5
174,2,7
174,2,1
184,2,3
174,2,4
174,2,8
177,2,6
194,2,0
1484,3,2
1428,3,5
1560,3,0
1560,3,3
1375,3,7
1560,3,8
1516,3,4
1443,3,1
1560,3,6
1560,3,9
1582,4,9
1554,4,2
1640,4,0
1582,4,6
1582,4,8
1544,4,7
1577,4,4
1582,4,1
1603,4,5
1582,4,3
1618,5,7
1639,5,5
1552,5,0
1638,5,4
1618,5,2
1534,5,6
1618,5,3
1637,5,9
1534,5,8
1618,5,1
1637,6,5
1616,6,1
1592,6,0
1616,6,6
1616,6,7
1616,6,3
1636,6,4
1632,6,2
1637,6,9
1616,6,8
1544,7,1
1637,7,5
1594,7,0
1616,7,3
1616,7,6
1637,7,9
1658,7,2
1616,7,7
1636,7,4
1636,7,8
1568,8,7
1572,8,3
1590,8,8
1637,8,9
1638,8,0
1637,8,5
1669,8,6
1658,8,2
1672,8,4
1636,8,1
1685,9,8
1654,9,0
1685,9,1
1642,9,9
1717,9,3
1685,9,6
1645,9,7
1686,9,5
1707,9,2
1705,9,4
1597,10,0
1652,10,1
1656,10,6
1704,10,7
1717,10,9
1758,10,5
1720,10,4
1722,10,2
1604,10,8
1653,10,3
1627,11,1
1675,11,6
1623,11,0
1627,11,9
1723,11,8
1629,11,2
1548,11,7
1568,11,5
1650,11,3
1631,11,4
1553,12,0
1515,12,7
1445,12,6
1382,12,5
1503,12,2
1400,12,3
1421,12,8
1399,12,1
1417,12,9
1421,12,4
1559,13,0
1617,13,8
1573,13,7
1708,13,5
1667,13,2
1730,13,3
1645,13,6
1641,13,1
1725,13,9
1769,13,4
1789,14,0
1788,14,3
1749,14,7
1751,14,2
1827,14,4
1749,14,1
1749,14,8
1729,14,6
1827,14,9
1810,14,5
1789,15,0
1739,15,7
1805,15,9
1785,15,8
1788,15,5
1798,15,6
1821,15,2
1785,15,1
1764,15,3
1805,15,4
1787,16,0
1786,16,6
1870,16,4
1896,16,7
1867,16,5
1793,16,9
1852,16,2
1831,16,3
1868,16,1
1770,16,8
1883,17,6
1889,17,0
1923,17,4
1879,17,7
1905,17,2
1884,17,3
1903,17,1
1885,17,5
1923,17,8
1923,17,9
1923,18,4
1859,18,0
1839,18,6
1885,18,7
1903,18,1
1837,18,5
1905,18,2
1971,18,8
1840,18,3
1923,18,9
1907,19,0
1979,19,9
1955,19,8
1939,19,6
1941,19,5
1863,19,1
1915,19,7
1907,19,4
1940,19,3
1961,19,2
1999,20,0
1999,20,8
1935,20,1
1897,20,5
1935,20,7
1896,20,3
1951,20,6
1951,20,2
1935,20,9
1999,20,4
1945,21,7
1857,21,8
1865,21,0
1945,21,1
1957,21,4
1905,21,2
1869,21,6
1937,21,9
